id_compra,id_cliente,data_compra,valor_compra
1,20,2013-06-22,8520.62
2,912,2015-08-20,915.52
3,563,2012-07-17,7173.4
4,851,2012-01-22,304.75
5,22,2020-08-31,1068.01
6,962,2010-09-14,3604.93
7,38,2014-08-08,7651.07
8,136,2012-01-17,60.73
9,646,2011-10-17,164.92
10,905,2019-04-08,771.24
11,893,2018-06-30,556.87
12,598,2013-12-24,591.44
13,496,2019-08-07,8239.04
14,939,2017-08-18,636.42
15,568,2014-10-09,5756.04
16,969,2010-11-05,7398.97
17,585,2012-05-22,3957.29
18,865,2018-05-29,2152.4
19,896,2010-11-12,62.33
20,27,2017-03-10,6464.69
21,810,2013-09-19,895.75
22,688,2015-04-09,7213.84
23,562,2013-12-22,2316.69
24,684,2016-07-18,931.01
25,363,2010-12-14,447.86
26,601,2017-05-05,6907.65
27,609,2018-11-12,727.76
28,283,2015-10-19,582.77
29,193,2015-01-11,5754.19
30,544,2015-03-12,733.93
31,344,2014-08-20,637.62
32,724,2011-10-14,928.53
33,641,2018-12-26,2085.36
34,416,2016-03-07,5433.94
35,719,2013-02-27,783.16
36,77,2010-08-16,214.92
37,634,2018-04-15,752.06
38,321,2019-06-04,3620.77
39,219,2018-01-08,877.9
40,957,2015-07-07,6616.1
41,529,2014-03-10,18.51
42,418,2015-03-17,5.79
43,868,2014-09-04,142.66
44,270,2016-09-03,682.54
45,25,2011-04-07,4217.26
46,822,2017-10-06,713.54
47,544,2020-07-14,3655.6
48,976,2011-09-21,685.74
49,43,2018-05-22,185.03
50,379,2012-06-07,337.71
51,618,2014-05-12,9531.88
52,764,2019-08-30,381.31
53,130,2018-06-17,6086.91
54,840,2018-09-21,440.3
55,254,2019-09-13,2148.78
56,764,2016-08-31,908.24
57,775,2014-07-01,123.96
58,790,2010-09-03,5192.74
59,766,2019-03-26,3343.7
60,542,2014-02-09,608.23
61,963,2017-05-27,5501.73
62,468,2017-01-30,613.54
63,410,2014-04-26,725.24
64,711,2010-09-13,894.61
65,226,2010-08-18,459.01
66,128,2012-06-06,4314.69
67,436,2015-09-29,4751.85
68,518,2018-07-25,508.26
69,701,2017-03-07,1648.48
70,941,2018-01-23,395.61
71,613,2015-01-03,2788.35
72,478,2017-02-22,449.13
73,136,2019-11-24,59.09
74,545,2012-12-14,8604.36
75,907,2010-07-26,800.32
76,989,2010-07-02,303.6
77,777,2011-02-28,792.2
78,910,2018-07-28,5870.73
79,602,2013-09-02,347.79
80,415,2013-12-06,3858.49
81,607,2018-03-14,6078.16
82,690,2015-10-02,4047.89
83,31,2011-01-01,1342.42
84,591,2012-12-02,249.44
85,378,2013-08-19,6523.18
86,803,2012-06-06,371.45
87,514,2015-09-30,855.16
88,430,2013-06-15,1385.41
89,861,2018-04-21,6637.17
90,341,2018-04-14,108.57
91,419,2010-10-01,5197.34
92,812,2011-05-27,421.89
93,476,2018-01-20,6824.3
94,300,2010-06-08,4575.95
95,545,2013-08-10,845.08
96,875,2012-10-26,121.83
97,97,2013-10-18,953.15
98,937,2016-12-16,220.29
99,361,2011-08-05,211.95
100,934,2019-05-18,1450.22
101,245,2018-06-27,637.45
102,647,2014-09-28,420.08
103,465,2013-09-07,6710.23
104,278,2019-04-08,5443.77
105,892,2016-12-07,9917.69
106,114,2019-12-18,8514.75
107,492,2012-07-14,7684.89
108,237,2014-05-18,890.98
109,523,2020-04-13,293.92
110,910,2011-01-06,859.39
111,759,2010-06-26,751.06
112,144,2015-09-30,869.69
113,947,2018-09-04,2353.96
114,58,2016-12-24,454.67
115,827,2014-05-16,90.19
116,60,2015-01-08,853.14
117,348,2012-08-06,158.29
118,977,2019-07-03,5660.62
119,993,2019-06-08,972.56
120,625,2014-05-28,9574.67
121,834,2016-05-03,4246.77
122,949,2020-06-02,1574.08
123,801,2014-10-24,997.95
124,841,2015-10-31,2297.74
125,447,2014-11-11,4395.51
126,759,2014-04-05,13.52
127,414,2015-07-18,29.05
128,175,2010-09-19,5216.88
129,556,2012-02-21,584.48
130,185,2020-10-17,120.56
131,123,2017-06-11,584.67
132,860,2018-12-01,947.42
133,604,2012-03-21,848.9
134,547,2018-08-08,626.64
135,613,2021-01-17,5490.8
136,885,2012-10-13,8723.15
137,766,2013-09-04,189.06
138,299,2019-12-26,6400.6
139,993,2018-03-03,4700.42
140,664,2011-10-01,9828.95
141,136,2016-01-16,108.39
142,377,2017-01-21,201.25
143,660,2016-05-28,5719.9
144,343,2012-04-19,288.86
145,814,2014-01-10,7986.26
146,732,2016-04-30,5399.12
147,947,2010-02-14,2177.1
148,221,2020-08-16,683.27
149,145,2014-11-08,7422.3
150,55,2016-06-07,7559.72
151,634,2013-02-19,124.67
152,470,2017-12-29,9464.01
153,456,2014-04-27,464.45
154,478,2012-12-25,295.99
155,120,2016-10-11,6691.43
156,823,2016-05-03,740.93
157,18,2015-05-21,2147.79
158,871,2010-12-23,1991.29
159,151,2013-02-19,398.7
160,996,2020-03-19,848.86
161,599,2016-08-15,372.85
162,260,2012-07-23,2216.51
163,13,2013-03-31,76.15
164,899,2012-12-13,9793.6
165,207,2018-11-19,3116.85
166,181,2014-06-23,387.06
167,60,2017-03-13,408.42
168,66,2017-12-12,339.66
169,952,2016-12-25,137.73
170,679,2017-04-25,3413.29
171,852,2013-04-29,554.05
172,326,2011-02-27,299.14
173,206,2018-09-17,8037.55
174,522,2017-03-07,6892.3
175,945,2013-11-26,5144.64
176,170,2018-05-09,7418.3
177,636,2011-08-29,562.47
178,53,2020-02-13,153.77
179,131,2017-08-14,5384.21
180,762,2015-01-08,275.06
181,920,2014-07-31,5810.82
182,453,2017-06-28,3314.07
183,235,2018-03-13,481.35
184,233,2019-01-02,2965.25
185,150,2015-01-03,672.65
186,764,2018-08-01,5412.39
187,156,2016-10-21,432.01
188,667,2016-07-11,2294.79
189,465,2012-06-04,83.93
190,142,2017-01-05,427.65
191,156,2010-10-30,109.16
192,907,2015-04-16,969.43
193,946,2020-05-11,2100.13
194,516,2014-10-19,768.9
195,424,2012-08-22,4550.77
196,413,2019-04-05,3754.43
197,167,2015-07-21,7422.8
198,153,2017-04-08,5773.76
199,878,2018-09-08,628.7
200,318,2011-12-26,973.42
201,787,2020-03-22,89.39
202,954,2015-04-04,456.72
203,63,2020-02-03,102.36
204,816,2015-11-26,902.81
205,223,2015-12-13,7399.18
206,207,2014-08-11,9225.25
207,598,2010-07-18,3982.88
208,990,2015-10-22,6082.28
209,572,2021-04-03,131.18
210,68,2011-09-22,1274.29
211,70,2018-04-15,528.93
212,400,2017-07-25,851.42
213,124,2018-03-29,227.24
214,711,2012-06-01,5003.98
215,609,2018-04-08,2895.53
216,443,2020-05-22,86.64
217,185,2017-09-22,443.53
218,347,2020-03-18,101.89
219,921,2013-10-30,5449.14
220,580,2012-12-24,9623.07
221,849,2012-12-20,9337.04
222,90,2013-06-10,932.37
223,951,2016-10-18,4026.44
224,710,2017-01-05,6271.13
225,315,2020-03-15,687.35
226,738,2019-08-21,435.98
227,107,2013-09-14,4014.43
228,989,2013-04-18,441.31
229,105,2010-11-27,3460.75
230,639,2013-08-17,4606.97
231,972,2019-11-14,395.92
232,801,2014-09-25,3197.36
233,638,2014-06-22,2841.77
234,967,2018-05-17,7213.36
235,768,2017-07-01,57.07
236,488,2016-12-06,6542.46
237,10,2015-01-19,1558.38
238,216,2011-10-01,1782.62
239,750,2014-11-26,5923.9
240,766,2010-11-04,42.46
241,820,2020-01-10,730.58
242,197,2010-12-28,7609.28
243,735,2010-10-03,925.04
244,36,2017-08-22,330.58
245,2,2018-02-20,7357.21
246,906,2018-11-22,9100.98
247,356,2019-03-22,390.97
248,417,2014-01-01,448.84
249,672,2017-05-05,333.14
250,787,2015-11-04,309.56
251,761,2013-02-25,8942.74
252,754,2018-07-26,252.05
253,820,2016-03-04,968.58
254,822,2013-08-30,2032.52
255,470,2013-03-06,691.07
256,760,2011-09-06,9180.63
257,747,2012-08-06,133.51
258,759,2019-10-17,901.85
259,481,2014-01-13,8474.63
260,600,2018-11-30,8701.75
261,968,2012-02-02,8915.47
262,914,2012-12-26,16.04
263,371,2013-06-06,1930.25
264,830,2014-01-28,5247.07
265,581,2011-08-30,287.55
266,503,2017-12-14,7230.79
267,487,2015-02-28,10000.31
268,285,2012-03-19,8415.18
269,805,2015-11-29,6830.31
270,410,2011-06-28,701.54
271,559,2011-06-13,2761.79
272,267,2019-04-13,289.67
273,129,2017-02-07,426.09
274,833,2013-12-13,2128.0
275,101,2011-07-14,119.79
276,273,2020-04-09,8585.09
277,307,2017-06-30,1552.86
278,524,2013-08-10,6125.5
279,597,2013-07-08,5261.13
280,172,2011-12-18,327.65
281,209,2017-08-30,2007.51
282,552,2019-01-17,916.42
283,462,2013-04-20,876.66
284,76,2019-12-12,919.35
285,835,2020-01-22,6994.21
286,211,2011-01-14,864.48
287,141,2012-02-12,7215.2
288,398,2017-02-07,325.86
289,945,2014-07-11,7635.63
290,606,2013-05-02,4278.88
291,441,2016-01-19,608.35
292,63,2013-02-26,391.54
293,201,2017-03-11,3752.7
294,430,2019-07-11,194.53
295,129,2014-09-14,1693.66
296,998,2012-12-31,251.35
297,440,2015-03-13,710.77
298,940,2018-09-22,970.76
299,415,2016-05-13,6803.88
300,15,2019-03-31,624.5
301,711,2012-02-08,776.1
302,103,2014-09-07,368.09
303,297,2020-01-08,306.86
304,496,2013-07-20,286.17
305,331,2018-05-16,1940.21
306,343,2016-03-15,999.32
307,142,2018-08-17,7884.13
308,172,2012-09-25,901.69
309,752,2017-05-04,785.17
310,143,2016-11-11,5745.32
311,589,2016-10-30,479.46
312,513,2010-12-08,6470.85
313,899,2015-06-03,3535.11
314,743,2011-12-03,316.09
315,856,2017-04-22,626.29
316,686,2012-09-30,4277.16
317,516,2012-10-17,256.24
318,701,2019-06-29,9068.15
319,530,2014-05-30,538.62
320,703,2016-08-09,33.69
321,86,2012-07-05,558.62
322,388,2020-01-02,117.89
323,756,2020-07-04,205.66
324,896,2017-01-12,4128.56
325,407,2014-12-12,5268.07
326,755,2014-11-18,357.0
327,657,2010-06-28,8221.37
328,397,2019-06-09,900.15
329,275,2017-03-20,6181.07
330,869,2017-10-14,5719.85
331,110,2013-03-03,261.58
332,495,2013-06-17,2329.04
333,167,2016-12-17,2622.48
334,841,2016-03-31,20.29
335,419,2011-12-03,861.81
336,646,2019-02-24,9943.35
337,264,2018-03-18,2620.59
338,839,2016-03-09,120.08
339,449,2016-02-03,7207.64
340,632,2018-02-21,8649.2
341,571,2011-05-27,6515.63
342,877,2010-11-06,9743.25
343,622,2015-06-20,840.05
344,236,2016-12-10,4186.18
345,961,2010-11-05,9241.98
346,358,2015-05-25,103.82
347,25,2014-05-26,192.63
348,882,2017-06-28,572.52
349,350,2015-12-27,670.39
350,622,2019-01-11,520.38
351,21,2015-10-28,435.71
352,483,2013-08-01,770.84
353,720,2011-06-16,1949.2
354,36,2012-11-21,142.94
355,386,2012-05-05,7859.5
356,112,2016-05-15,9924.09
357,853,2020-11-05,24.5
358,406,2014-02-01,6009.58
359,813,2012-08-22,898.52
360,534,2014-01-18,1657.55
361,342,2019-09-23,797.24
362,594,2012-02-22,256.79
363,678,2012-07-18,2783.16
364,695,2017-07-13,830.83
365,766,2019-04-29,1904.28
366,410,2018-11-16,28.56
367,981,2017-12-01,1990.14
368,636,2017-05-25,599.72
369,39,2011-10-08,55.47
370,402,2016-09-27,500.06
371,743,2020-05-10,7994.73
372,461,2014-09-17,306.73
373,333,2016-05-25,5104.24
374,974,2014-08-27,373.38
375,652,2013-06-19,677.21
376,568,2020-02-14,4395.67
377,897,2010-03-14,881.12
378,332,2019-05-01,975.74
379,999,2020-02-11,28.59
380,584,2020-02-12,269.71
381,211,2020-04-26,435.96
382,694,2014-03-05,5665.19
383,242,2016-05-09,6535.94
384,962,2011-03-26,754.31
385,497,2018-02-07,69.31
386,380,2010-03-20,4548.84
387,411,2017-01-16,9467.91
388,781,2014-05-24,821.3
389,133,2019-04-29,205.46
390,330,2018-05-22,694.65
391,381,2019-10-03,708.27
392,785,2011-06-20,8161.54
393,74,2014-11-07,9076.8
394,412,2018-12-30,9289.38
395,886,2017-08-07,7763.9
396,137,2010-02-23,5227.23
397,917,2018-04-27,16.74
398,211,2010-10-29,2046.95
399,960,2012-09-20,5650.24
400,226,2019-05-03,797.45
