id_credbanco,id_cliente,data_credito,valor_credito,tipo_credito
1,856,2012-07-20,1767.96,boleto
2,234,2017-02-01,987.6,boleto
3,688,2019-02-28,669.43,boleto
4,681,2010-06-01,1037.45,crédito transferência
5,725,2019-02-01,414.58,crédito transferência
6,671,2015-02-23,515.87,boleto
7,76,2019-02-23,3611.17,boleto
8,515,2014-02-18,8058.22,crédito transferência
9,541,2016-11-22,8245.96,boleto
10,27,2020-04-10,7806.61,boleto
11,684,2016-03-17,1024.93,boleto
12,557,2013-04-01,9792.36,crédito transferência
13,407,2015-02-23,642.34,crédito transferência
14,897,2017-04-08,908.71,crédito transferência
15,259,2017-03-09,8358.96,crédito transferência
16,620,2019-12-11,2750.22,crédito transferência
17,621,2015-02-11,9939.85,boleto
18,655,2013-07-22,227.36,crédito transferência
19,411,2018-06-11,8797.53,boleto
20,657,2015-09-22,308.42,boleto
21,418,2019-10-01,220.13,boleto
22,394,2016-06-03,3090.28,boleto
23,515,2014-04-15,891.66,boleto
24,84,2011-02-17,224.37,crédito transferência
25,109,2017-11-13,910.34,boleto
26,604,2014-12-11,4134.52,boleto
27,527,2012-04-25,7658.15,crédito transferência
28,516,2014-12-20,8536.43,boleto
29,873,2019-06-24,838.01,crédito transferência
30,759,2017-12-08,5122.04,crédito transferência
31,130,2011-11-29,358.79,boleto
32,148,2012-09-14,9526.45,boleto
33,306,2011-09-12,108.71,boleto
34,938,2012-12-26,5552.97,boleto
35,167,2012-11-25,904.57,crédito transferência
36,83,2012-06-18,887.13,crédito transferência
37,893,2015-06-18,65.94,crédito transferência
38,495,2019-08-02,716.37,boleto
39,810,2012-09-19,4545.57,boleto
40,847,2016-10-20,4435.28,boleto
41,34,2011-09-10,2291.96,crédito transferência
42,772,2016-08-13,353.9,boleto
43,50,2014-11-09,8961.14,crédito transferência
44,784,2012-06-04,1521.58,crédito transferência
45,202,2020-02-11,948.59,crédito transferência
46,463,2014-06-19,1980.77,boleto
47,425,2016-12-21,627.37,crédito transferência
48,536,2011-05-15,9423.78,crédito transferência
49,430,2017-11-01,854.78,boleto
50,658,2015-01-09,1847.33,boleto
51,4,2013-06-08,8552.84,crédito transferência
52,92,2013-06-10,441.32,boleto
53,407,2019-09-26,407.17,boleto
54,183,2016-10-31,3918.54,boleto
55,580,2016-12-25,787.67,boleto
