id_credvoucher,id_cliente,data_criacao,valor_voucher,tipo_credito,data_expiracao,id_compra
1,469,2014-04-02,3128.88,cartão presente,2014-09-29,2409.0
2,287,2017-07-05,18.4,crédito desculpa,2018-07-05,
3,156,2016-04-08,432.01,crédito cancelamento,2017-04-08,187.0
4,656,2016-05-31,558.69,cartão presente,2016-11-27,1881.0
5,323,2014-02-16,737.93,crédito desculpa,2015-02-16,672.0
6,283,2015-04-18,582.77,crédito cancelamento,2016-04-17,28.0
7,297,2019-11-09,306.86,cartão presente,2020-05-07,303.0
8,401,2014-03-08,6740.7,crédito cancelamento,2015-03-08,3997.0
9,816,2010-01-09,9816.9,cartão presente,2010-07-08,3401.0
10,677,2016-03-11,3504.7,crédito desculpa,2017-03-11,
11,159,2017-04-10,884.41,crédito cancelamento,2018-04-10,830.0
12,663,2015-06-01,7080.34,crédito cancelamento,2016-05-31,1096.0
13,542,2019-11-08,2333.09,crédito cancelamento,2020-11-07,3537.0
14,620,2018-12-05,4620.07,crédito desculpa,2019-12-05,
15,684,2016-04-06,931.01,cartão presente,2016-10-03,24.0
16,268,2017-12-24,965.24,crédito desculpa,2018-12-24,879.0
17,843,2015-04-03,6689.22,cartão presente,2015-09-30,4067.0
18,11,2019-08-31,3793.08,cartão presente,2020-02-27,1023.0
19,246,2015-01-19,5019.61,cartão presente,2015-07-18,1192.0
20,814,2019-11-03,988.52,crédito desculpa,2020-11-02,1630.0
21,466,2019-02-20,9200.79,crédito desculpa,2020-02-20,704.0
22,103,2014-12-03,680.67,crédito cancelamento,2015-12-03,1288.0
23,175,2014-08-08,832.4,crédito cancelamento,2015-08-08,
24,832,2015-10-22,490.41,crédito desculpa,2016-10-21,1592.0
25,191,2011-04-25,6901.47,cartão presente,2011-10-22,1034.0
26,330,2019-04-16,2350.22,crédito cancelamento,2020-04-15,
27,131,2019-09-16,1479.6,crédito desculpa,2020-09-15,1548.0
28,130,2018-04-28,6086.91,crédito cancelamento,2019-04-28,53.0
29,262,2010-01-03,939.8,crédito desculpa,2011-01-03,873.0
30,112,2017-03-02,1549.61,crédito desculpa,2018-03-02,1209.0
31,620,2013-10-17,8.66,cartão presente,2014-04-15,
32,522,2011-03-05,1130.87,cartão presente,2011-09-01,966.0
33,129,2016-08-10,426.09,crédito cancelamento,2017-08-10,273.0
34,341,2018-03-27,108.57,cartão presente,2018-09-23,90.0
35,755,2016-02-16,4935.06,cartão presente,2016-08-14,552.0
36,658,2011-09-09,6539.69,crédito cancelamento,2012-09-08,1887.0
37,228,2014-07-31,7792.08,cartão presente,2015-01-27,632.0
38,503,2017-10-13,1065.29,crédito desculpa,2018-10-13,1140.0
39,229,2016-07-10,662.34,crédito cancelamento,2017-07-10,2041.0
40,933,2019-05-14,6655.1,crédito cancelamento,2020-05-13,631.0
41,455,2015-06-07,8238.41,crédito cancelamento,2016-06-06,815.0
42,286,2016-06-02,248.56,crédito cancelamento,2017-06-02,483.0
43,742,2019-03-01,5819.43,crédito desculpa,2020-02-29,
44,459,2011-03-25,8451.05,crédito desculpa,2012-03-24,1127.0
45,353,2011-11-11,512.79,crédito desculpa,2012-11-10,1299.0
46,580,2018-07-29,3502.39,crédito desculpa,2019-07-29,3004.0
47,133,2015-02-05,817.7,crédito desculpa,2016-02-05,3458.0
48,70,2018-04-01,528.93,cartão presente,2018-09-28,211.0
49,476,2018-01-11,6824.3,cartão presente,2018-07-10,93.0
50,496,2018-07-24,9621.22,crédito cancelamento,2019-07-24,3169.0
51,404,2018-07-13,9013.79,crédito cancelamento,2019-07-13,881.0
52,743,2011-10-26,316.09,cartão presente,2012-04-23,314.0
53,502,2018-11-03,121.93,crédito cancelamento,2019-11-03,4295.0
54,309,2013-03-20,8547.95,crédito desculpa,2014-03-20,1131.0
55,326,2012-07-26,190.0,cartão presente,2013-01-22,2242.0
56,149,2017-09-25,610.48,crédito desculpa,2018-09-25,
57,585,2010-04-11,883.9,cartão presente,2010-10-08,3061.0
58,492,2011-09-10,7684.89,crédito cancelamento,2012-09-09,107.0
59,694,2014-09-03,3657.06,cartão presente,2015-03-02,3472.0
60,510,2017-12-24,4479.23,cartão presente,2018-06-22,
61,705,2015-03-24,259.15,cartão presente,2015-09-20,1302.0
62,698,2018-08-13,593.39,crédito cancelamento,2019-08-13,3751.0
63,863,2012-08-27,4225.97,cartão presente,2013-02-23,1111.0
64,792,2019-08-14,628.19,crédito cancelamento,2020-08-13,589.0
65,78,2014-05-13,506.02,crédito desculpa,2015-05-13,4642.0
66,358,2014-11-01,103.82,crédito desculpa,2015-11-01,346.0
67,348,2012-04-13,158.29,cartão presente,2012-10-10,117.0
68,362,2015-04-17,3179.81,crédito desculpa,2016-04-16,4419.0
69,701,2012-11-22,7844.17,crédito desculpa,2013-11-22,
70,59,2018-10-20,146.49,crédito cancelamento,2019-10-20,1070.0
71,876,2016-07-06,7146.06,crédito cancelamento,2017-07-06,580.0
72,801,2014-06-29,997.95,crédito desculpa,2015-06-29,123.0
73,334,2012-05-13,7854.14,crédito desculpa,2013-05-13,3286.0
74,351,2010-09-03,403.86,cartão presente,2011-03-02,1960.0
75,339,2013-07-26,4828.7,cartão presente,2014-01-22,1640.0
76,740,2020-04-01,704.76,crédito desculpa,2021-04-01,874.0
77,454,2016-02-13,5721.09,cartão presente,2016-08-11,413.0
78,64,2015-07-28,4902.55,crédito cancelamento,2016-07-27,1764.0
79,761,2013-01-01,8942.74,cartão presente,2013-06-30,251.0
80,957,2015-05-31,6616.1,crédito desculpa,2016-05-30,40.0
81,799,2013-08-11,805.92,crédito desculpa,2014-08-11,
82,978,2019-05-31,6332.85,cartão presente,2019-11-27,4232.0
83,920,2013-11-13,5810.82,crédito desculpa,2014-11-13,181.0
84,529,2019-01-27,556.68,crédito cancelamento,2020-01-27,3246.0
85,513,2010-11-27,6470.85,cartão presente,2011-05-26,312.0
86,38,2014-05-12,7651.07,cartão presente,2014-11-08,7.0
87,913,2012-06-25,9334.79,cartão presente,2012-12-22,1913.0
88,837,2014-12-08,550.45,crédito cancelamento,2015-12-08,822.0
89,949,2020-04-18,1574.08,cartão presente,2020-10-15,122.0
90,741,2011-06-23,9289.46,cartão presente,2011-12-20,4765.0
91,603,2019-03-06,84.39,crédito cancelamento,2020-03-05,3807.0
92,640,2011-02-28,85.24,crédito desculpa,2012-02-28,750.0
93,799,2019-10-12,2614.13,cartão presente,2020-04-09,
94,784,2013-08-01,4425.62,crédito desculpa,2014-08-01,2145.0
95,249,2018-05-10,789.02,cartão presente,2018-11-06,2329.0
96,147,2018-12-22,903.59,crédito cancelamento,2019-12-22,1677.0
97,653,2018-04-13,7660.85,crédito desculpa,2019-04-13,1056.0
98,841,2015-11-20,20.29,cartão presente,2016-05-18,334.0
99,672,2016-08-01,333.14,crédito cancelamento,2017-08-01,249.0
100,891,2018-02-18,2663.3,cartão presente,2018-08-17,
101,86,2012-05-09,558.62,crédito desculpa,2013-05-09,321.0
102,372,2012-07-25,421.99,crédito desculpa,2013-07-25,1856.0
103,266,2015-03-12,683.97,cartão presente,2015-09-08,1393.0
104,768,2016-11-21,879.4,crédito cancelamento,2017-11-21,2270.0
105,603,2013-07-04,6529.96,crédito cancelamento,2014-07-04,1257.0
106,412,2018-02-19,9289.38,crédito cancelamento,2019-02-19,394.0
107,7,2017-04-01,9652.54,cartão presente,2017-09-28,1422.0
108,558,2019-10-30,8713.31,crédito desculpa,2020-10-29,518.0
109,944,2015-03-24,42.22,cartão presente,2015-09-20,1750.0
110,251,2015-01-19,512.53,cartão presente,2015-07-18,899.0
111,278,2018-10-15,5443.77,crédito cancelamento,2019-10-15,104.0
112,642,2016-10-30,5628.05,cartão presente,2017-04-28,2836.0
113,785,2010-06-22,8161.54,crédito cancelamento,2011-06-22,392.0
114,419,2012-09-20,693.16,crédito cancelamento,2013-09-20,1092.0
115,918,2017-07-15,5.34,crédito desculpa,2018-07-15,3828.0
116,450,2015-02-03,1707.8,cartão presente,2015-08-02,3649.0
117,869,2011-12-01,7689.91,cartão presente,2012-05-29,1399.0
118,891,2014-02-04,9068.86,crédito desculpa,2015-02-04,
119,390,2017-01-03,21.9,crédito cancelamento,2018-01-03,3366.0
120,701,2015-07-24,942.86,crédito desculpa,2016-07-23,243.0
121,52,2019-10-08,8379.46,crédito desculpa,2020-10-07,2035.0
122,106,2011-05-10,20.05,crédito cancelamento,2012-05-09,2112.0
123,558,2018-06-03,153.88,cartão presente,2018-11-30,3650.0
124,625,2010-02-18,1868.25,crédito desculpa,2011-02-18,2233.0
125,941,2011-10-04,351.88,crédito cancelamento,2012-10-03,1186.0
126,316,2014-06-11,1738.49,crédito desculpa,2015-06-11,1789.0
127,938,2012-05-19,8248.22,crédito cancelamento,2013-05-19,2817.0
128,653,2012-08-31,556.2,crédito desculpa,2013-08-31,902.0
129,184,2016-09-21,774.94,cartão presente,2017-03-20,875.0
130,407,2019-08-13,590.78,crédito cancelamento,2020-08-12,
131,495,2018-02-05,435.75,crédito desculpa,2019-02-05,1374.0
132,396,2017-12-11,397.7,crédito cancelamento,2018-12-11,2047.0
133,839,2016-02-22,120.08,cartão presente,2016-08-20,338.0
134,133,2013-02-16,300.29,crédito cancelamento,2014-02-16,3240.0
135,16,2018-12-24,555.01,crédito desculpa,2019-12-24,504.0
136,295,2014-10-15,4315.58,crédito desculpa,2015-10-15,1492.0
137,627,2012-02-02,9296.1,crédito cancelamento,2013-02-01,
138,349,2010-04-21,197.02,crédito cancelamento,2011-04-21,923.0
139,192,2013-09-05,3125.37,cartão presente,2014-03-04,1859.0
140,267,2016-11-02,527.03,crédito desculpa,2017-11-02,4974.0
141,619,2015-10-09,704.42,crédito cancelamento,2016-10-08,4119.0
142,282,2013-03-11,904.69,cartão presente,2013-09-07,2984.0
143,975,2010-07-14,512.2,crédito cancelamento,2011-07-14,895.0
144,319,2015-01-02,3458.37,crédito desculpa,2016-01-02,1215.0
145,422,2010-01-08,1467.39,crédito desculpa,2011-01-08,3680.0
146,109,2011-05-02,4268.52,crédito desculpa,2012-05-01,2402.0
147,272,2019-11-29,6029.63,crédito cancelamento,2020-11-28,754.0
148,536,2010-06-10,3015.92,cartão presente,2010-12-07,1001.0
149,352,2013-03-14,399.09,crédito desculpa,2014-03-14,1499.0
150,510,2019-02-01,5287.39,crédito cancelamento,2020-02-01,2274.0
151,323,2012-07-08,4984.59,cartão presente,2013-01-04,767.0
152,307,2016-07-28,1552.86,crédito desculpa,2017-07-28,277.0
153,342,2019-08-03,797.24,crédito cancelamento,2020-08-02,361.0
154,993,2017-10-20,4700.42,crédito desculpa,2018-10-20,139.0
155,326,2012-06-15,1240.41,crédito desculpa,2013-06-15,
156,892,2017-08-26,765.61,crédito cancelamento,2018-08-26,2855.0
157,609,2018-04-07,727.76,crédito desculpa,2019-04-07,27.0
158,462,2012-10-18,876.66,crédito cancelamento,2013-10-18,283.0
159,375,2011-06-12,20.03,crédito cancelamento,2012-06-11,3568.0
160,662,2016-06-07,123.27,crédito cancelamento,2017-06-07,
161,721,2012-02-01,301.39,crédito cancelamento,2013-01-31,3667.0
162,297,2012-04-08,879.45,cartão presente,2012-10-05,2027.0
163,81,2010-04-27,163.1,cartão presente,2010-10-24,1652.0
164,80,2013-02-24,2616.29,crédito cancelamento,2014-02-24,2640.0
165,868,2020-01-27,9196.3,cartão presente,2020-07-25,2073.0
166,260,2019-12-04,317.59,cartão presente,2020-06-01,1397.0
167,590,2015-01-02,471.36,cartão presente,2015-07-01,1875.0
168,479,2010-02-16,768.63,crédito desculpa,2011-02-16,1822.0
169,600,2018-09-12,8701.75,crédito desculpa,2019-09-12,260.0
170,726,2014-01-10,890.13,cartão presente,2014-07-09,512.0
171,501,2015-01-26,52.25,cartão presente,2015-07-25,726.0
172,550,2017-11-23,28.27,crédito desculpa,2018-11-23,680.0
173,844,2015-06-16,149.8,crédito cancelamento,2016-06-15,696.0
174,289,2014-06-11,603.95,crédito desculpa,2015-06-11,900.0
175,631,2015-12-15,8236.92,crédito cancelamento,2016-12-14,3652.0
176,669,2019-10-15,1574.63,crédito cancelamento,2020-10-14,
177,175,2011-09-19,7331.77,crédito cancelamento,2012-09-18,3111.0
178,436,2014-10-31,4751.85,crédito cancelamento,2015-10-31,67.0
179,473,2013-01-05,718.61,crédito cancelamento,2014-01-05,419.0
180,869,2013-10-02,693.67,cartão presente,2014-03-31,866.0
181,335,2012-10-18,461.01,cartão presente,2013-04-16,842.0
182,227,2012-08-30,4497.6,crédito cancelamento,2013-08-30,3006.0
183,920,2011-04-04,480.68,crédito desculpa,2012-04-03,
184,34,2013-01-22,625.56,crédito desculpa,2014-01-22,1280.0
185,885,2012-02-20,8723.15,crédito desculpa,2013-02-19,136.0
186,157,2020-03-13,487.45,crédito cancelamento,2021-03-13,
187,831,2011-02-22,2366.66,cartão presente,2011-08-21,2829.0
188,694,2013-04-30,5665.19,crédito cancelamento,2014-04-30,382.0
189,905,2013-12-21,884.42,crédito desculpa,2014-12-21,2315.0
190,668,2016-07-09,5497.87,crédito desculpa,2017-07-09,702.0
191,821,2014-07-13,8894.28,crédito cancelamento,2015-07-13,2679.0
192,99,2013-06-19,253.2,crédito desculpa,2014-06-19,812.0
193,246,2014-05-13,592.09,crédito desculpa,2015-05-13,4043.0
194,929,2010-12-29,895.36,cartão presente,2011-06-27,2472.0
195,340,2014-02-16,7939.77,crédito desculpa,2015-02-16,4436.0
196,237,2012-11-13,652.94,cartão presente,2013-05-12,492.0
197,43,2017-08-05,185.03,crédito desculpa,2018-08-05,49.0
198,201,2016-09-30,3752.7,crédito cancelamento,2017-09-30,293.0
199,111,2018-08-28,8845.73,cartão presente,2019-02-24,3656.0
200,619,2016-02-10,138.02,crédito cancelamento,2017-02-09,2435.0
201,452,2018-06-23,4069.52,crédito cancelamento,2019-06-23,2053.0
202,345,2019-06-18,8944.68,cartão presente,2019-12-15,1183.0
203,855,2020-01-27,8266.53,crédito cancelamento,2021-01-26,3424.0
204,190,2018-02-24,686.96,crédito cancelamento,2019-02-24,2701.0
205,659,2011-10-06,422.41,cartão presente,2012-04-03,2159.0
206,225,2010-11-09,498.96,cartão presente,2011-05-08,2162.0
207,697,2010-02-20,9819.91,crédito cancelamento,2011-02-20,
208,32,2017-01-20,5200.43,crédito desculpa,2018-01-20,2873.0
209,978,2013-05-05,197.09,cartão presente,2013-11-01,
210,203,2013-10-14,755.29,crédito desculpa,2014-10-14,1343.0
211,284,2015-08-17,892.68,cartão presente,2016-02-13,806.0
212,731,2010-07-21,5440.09,crédito cancelamento,2011-07-21,498.0
213,762,2013-12-31,2336.54,cartão presente,2014-06-29,4577.0
214,495,2013-02-19,2329.04,crédito desculpa,2014-02-19,332.0
215,408,2019-02-16,631.8,crédito cancelamento,2020-02-16,594.0
216,29,2011-06-25,506.62,crédito desculpa,2012-06-24,876.0
217,802,2016-04-22,51.18,crédito desculpa,2017-04-22,306.0
218,903,2015-09-27,67.9,crédito cancelamento,2016-09-26,
219,774,2015-08-22,463.93,cartão presente,2016-02-18,1054.0
220,647,2014-09-20,420.08,crédito cancelamento,2015-09-20,102.0
221,866,2019-09-29,283.17,cartão presente,2020-03-27,2038.0
222,683,2016-06-09,342.12,cartão presente,2016-12-06,2622.0
223,299,2019-07-21,6400.6,cartão presente,2020-01-17,138.0
